Aspects,Key Area,,No,Requirement,Keterangan ,Sample
,,,4,Memiliki backup dan skenario backup,"Harus ada backup data dan skenario backup yang jelas untuk melindungi data dari kehilangan akibat gangguan atau bencana. Backup ini mencakup jadwal backup, jenis backup (full, incremental, differential), serta skenario pemulihan jika terjadi kegagalan. Skenario backup harus mencakup prosedur untuk melakukan backup secara teratur dan proses restore yang diuji secara berkala untuk memastikan keberhasilan pemulihan data.","- Dokumen jadwal backup yang menunjukkan frekuensi backup (harian; mingguan; bulanan)
- Bukti konfigurasi backup; termasuk jenis backup yang digunakan (full; incremental; differential)
- Dokumen skenario pemulihan (restore) yang mencakup prosedur pemulihan data dan perangkat yang terlibat
- Laporan Hasil pengujian restore secara berkala untuk memastikan bahwa data dapat dipulihkan dengan sukses
- Bukti penyimpanan backup di lokasi yang aman; termasuk offsite jika diperlukan"
,,,5,Memiliki backup offsite ,"Harus ada backup offsite untuk memastikan keamanan dan ketersediaan data dalam situasi bencana atau kegagalan di lokasi utama. Backup offsite dilakukan dengan menyimpan salinan data di lokasi yang terpisah secara fisik dari data center utama guna memitigasi risiko kehilangan data akibat kejadian seperti kebakaran, banjir, atau gangguan besar lainnya.","- dokumentasi mengenai lokasi offsite yang digunakan untuk menyimpan backup
- Bukti konfigurasi backup offsite yang menunjukkan frekuensi dan jenis backup yang disimpan di lokasi offsite
- Laporan Hasil pengujian pemulihan data dari backup offsite untuk memastikan data dapat dipulihkan jika diperlukan
- Bukti bahwa prosedur keamanan diterapkan pada lokasi offsite; seperti kontrol akses dan sistem pengamanan data"
,P1.3 Backup & Restore Management,,1,Memiliki window time backup (Database dan Sistem / VM),"Harus ada window time yang ditentukan untuk melakukan backup pada database dan sistem/VM guna memastikan backup dilakukan dengan minimal gangguan terhadap operasional bisnis. Window time backup harus dipilih pada saat penggunaan sistem rendah, sehingga proses backup tidak mempengaruhi performa sistem utama dan tidak mengganggu aktivitas operasional pengguna.","- Jadwal window time backup yang ditetapkan untuk database dan sistem/VM
- Bukti bahwa window time dipilih berdasarkan analisis waktu dengan aktivitas sistem terendah (misalnya laporan analisis beban sistem)
- Laporan hasil backup yang menunjukkan keberhasilan backup dalam window time yang telah ditentukan
- Dokumentasi prosedur backup yang mencakup waktu pelaksanaan dan langkah-langkah yang dilakukan selama backup"
,,,2,"Memiliki  katalog tape backup (Fisik by manual, Virtual by tools)","Harus ada katalog tape backup yang mencakup tape fisik dan tape virtual. Katalog ini harus dikelola dengan baik untuk memastikan pencatatan dan pelacakan semua tape backup yang digunakan. Untuk tape fisik, pencatatan dilakukan secara manual; sedangkan untuk tape virtual, pencatatan dikelola dengan tools yang relevan agar data backup dapat diakses dengan cepat jika diperlukan.","- Daftar katalog tape backup yang mencakup detail setiap tape fisik dan virtual
- Bukti pencatatan manual untuk tape fisik (formulir atau log book)
- Bukti penggunaan tools untuk pengelolaan katalog tape virtual, seperti screenshot atau laporan sistem tools
- Dokumentasi prosedur untuk pengelolaan tape backup, termasuk cara penempatan, pelacakan, dan pemeliharaan tape"
,,,3,Melakukan testing restore minimal sekali dalam 1 tahun,"Harus dilakukan testing restore minimal satu kali dalam setahun untuk memastikan bahwa data backup dapat dipulihkan dengan sukses saat diperlukan. Testing restore bertujuan untuk menguji keandalan data backup dan memastikan semua prosedur pemulihan berjalan dengan baik tanpa error, sehingga dapat mengurangi risiko kehilangan data saat terjadi bencana.","- Jadwal testing restore yang menunjukkan frekuensi pelaksanaan minimal sekali dalam setahun
- Laporan hasil testing restore yang mencakup informasi tentang keberhasilan atau kegagalan restore dan tindakan perbaikan yang diperlukan
- Dokumentasi prosedur restore yang digunakan selama pengujian
- Bukti keterlibatan tim terkait selama proses testing restore, seperti notulen rapat atau daftar hadir saat pelaksanaan testing"
,,,4,Memiliki  prosedur / form permintaan backup / restore,"Harus ada prosedur yang jelas dan form yang digunakan untuk melakukan permintaan backup atau restore data. Prosedur ini mencakup langkah-langkah untuk mengajukan permintaan, persetujuan dari pihak yang berwenang, serta dokumentasi setiap permintaan yang diajukan untuk tujuan audit. Form permintaan harus mencakup informasi yang diperlukan seperti nama data, tanggal backup, keperluan, dan pihak yang bertanggung jawab.","- Dokumen prosedur permintaan backup/restore yang mencakup langkah-langkah pengajuan permintaan dan persetujuan
- Contoh form permintaan backup/restore yang digunakan, baik secara manual maupun digital
- Bukti permintaan backup/restore yang telah disetujui, misalnya formulir yang diisi dan ditandatangani
- Laporan audit yang menunjukkan bahwa setiap permintaan backup atau restore terdokumentasi dengan baik"
,P1.4 Facility Data Center / Ruang Server,,1,"Memiliki Ruang Data Center / Server sesuai dengan standar seperti
a. Setiap ruangan selalu dalam keadaan tertutup/terkunci
b. Memiliki lampu penerangan yang memadai
c. Menerapkan sistem zoning berdasarkan platform IT (eq. zona core banking, blade server, tape/backup, network, meet me room)
d. Mempergunakan raised floor untuk ruangan yang mempergunakan sistem pendingin down flow","Ruang Data Center/Server harus memenuhi standar tertentu untuk memastikan keamanan dan efisiensi operasional. Standar ini meliputi:
a. Setiap ruangan selalu dalam keadaan tertutup/terkunci untuk memastikan keamanan fisik.
b. Memiliki lampu penerangan yang memadai untuk mendukung kegiatan operasional.
c. Menerapkan sistem zoning berdasarkan platform IT, seperti zona core banking, blade server, tape/backup, network, meet me room untuk pengelolaan dan keamanan yang lebih baik.
d. Mempergunakan raised floor untuk ruangan yang menggunakan sistem pendingin down flow guna meningkatkan efisiensi pendinginan.","- Foto atau video yang menunjukkan kondisi ruangan Data Center/Server yang selalu tertutup/terkunci
- Bukti pemasangan dan kondisi lampu penerangan di Data Center
- Dokumentasi penerapan sistem zoning, termasuk denah zona yang ada di Data Center
- Foto atau dokumentasi raised floor yang digunakan di ruangan dengan sistem pendingin down flow
- Laporan audit fasilitas Data Center yang mencakup seluruh elemen standar di atas"
,,,2,"Memiliki sistem kelistrikan utama & cadangan (PLN, Genset untuk Data Center, UPS untuk Data Center & Ruang Server)","Ruang Data Center dan Server harus memiliki sistem kelistrikan utama dan cadangan untuk menjamin kelangsungan operasional. Sistem kelistrikan mencakup:
a. PLN sebagai sumber listrik utama.
b. Genset sebagai sumber daya cadangan saat terjadi pemadaman PLN.
c. UPS untuk menjaga kestabilan daya dan menyediakan cadangan daya sementara bagi Data Center dan ruang server sampai genset aktif. Sistem kelistrikan ini memastikan bahwa operasional Data Center tidak terganggu meskipun terjadi kegagalan daya dari sumber utama.","- Foto atau dokumentasi sistem kelistrikan yang mencakup PLN, Genset, dan UPS di Data Center
- Bukti uji coba genset yang menunjukkan sistem bekerja saat terjadi pemadaman
- Laporan monitoring UPS yang menunjukkan status dan kapasitas UPS untuk memastikan daya tersedia saat dibutuhkan
- Laporan audit mengenai keandalan sistem kelistrikan, termasuk hasil pengujian rutin untuk memastikan kesiapan sistem cadangan"
,,,3,Memiliki sistem pendingin ruangan server,"Ruang server harus memiliki sistem pendingin yang memadai untuk menjaga suhu dan kelembapan pada level yang optimal agar perangkat keras dapat beroperasi dengan stabil dan efisien. Sistem pendingin ini dapat berupa AC precision, CRAC (Computer Room Air Conditioning), atau pendingin lain yang dirancang untuk kebutuhan Data Center dan ruang server. Pendinginan yang efektif mengurangi risiko overheating yang dapat mengakibatkan gangguan pada perangkat.","- Foto atau dokumentasi sistem pendingin ruangan server yang menunjukkan jenis sistem pendingin yang digunakan
- Bukti monitoring suhu dan kelembapan ruangan server untuk memastikan kondisi tetap optimal
- Laporan hasil pemeliharaan rutin sistem pendingin untuk memastikan performa yang baik
- Dokumentasi prosedur penanganan gangguan pada sistem pendingin, termasuk tindakan pencegahan dan perbaikan"
,,,4,"Memiliki sistem pendeteksian & pemadaman api (Fire Suppression System, Alat Pemadam Api Ringan, Fire hydrant)","Ruang server dan Data Center harus dilengkapi dengan sistem pendeteksian dan pemadaman api yang memadai untuk menjaga keamanan perangkat keras dan data dari risiko kebakaran. Sistem ini mencakup:
a. Fire Suppression System untuk mendeteksi dan memadamkan api secara otomatis.
b. Alat Pemadam Api Ringan (APAR) yang mudah dijangkau untuk tindakan pemadaman manual awal.
c. Fire hydrant untuk menyediakan sumber air dalam keadaan darurat yang lebih besar. Sistem ini bertujuan untuk meminimalkan risiko kerusakan yang disebabkan oleh kebakaran.","- Foto atau dokumentasi Fire Suppression System, APAR, dan Fire hydrant di lokasi Data Center
- Bukti sertifikasi sistem pemadam api atau laporan pemeriksaan yang menunjukkan bahwa sistem memenuhi standar keselamatan
- Laporan hasil pengujian dan pemeliharaan rutin sistem pendeteksian dan pemadaman api untuk memastikan kinerja yang baik
- Dokumentasi prosedur evakuasi dan penanganan kebakaran, termasuk pelatihan personel dalam penggunaan APAR dan tindakan darurat lainnya"
,,,5,"Memiliki sistem pengamanan gedung & ruangan (Visitor Management System, CCTV, Access control, Security guard, X Ray scanner, Walk through metal detector untuk Data Center, Ruang Server mengikuti keamanan Gedung)","Ruang Data Center dan ruang server harus dilengkapi dengan sistem pengamanan yang mencakup beberapa komponen untuk memastikan keamanan fisik perangkat dan data. Sistem ini meliputi:
a. Visitor Management System (VMS) untuk mencatat dan memantau pengunjung.
b. CCTV untuk pemantauan visual sepanjang waktu.
c. Access control untuk membatasi akses hanya kepada pihak yang berwenang.
d. Security guard untuk menjaga keamanan secara fisik.
e. X-Ray scanner dan Walk through metal detector di Data Center untuk memastikan tidak ada barang berbahaya yang dibawa masuk.
f. Ruang server mengikuti pengamanan gedung. Sistem ini memastikan bahwa akses ke ruang yang kritikal hanya dapat dilakukan oleh pihak yang telah mendapatkan izin.","- Dokumentasi Visitor Management System yang menunjukkan sistem pencatatan pengunjung di Data Center
- Foto atau video CCTV yang menunjukkan pemasangan di titik-titik strategis
- Bukti konfigurasi access control, seperti penggunaan access card atau biometrik untuk masuk ke ruang Data Center dan server
- Laporan jadwal patroli security guard dan dokumentasi keberadaan petugas keamanan
- Bukti X-Ray scanner dan Walk through metal detector yang digunakan, termasuk laporan pengujian dan pemeliharaan perangkat
- Dokumentasi prosedur pengamanan gedung untuk ruang server yang mengikuti standar keamanan gedung"
,,,6,Memiliki sistem remote monitoring (Data Center Infrastructure Management),"Harus ada sistem remote monitoring berbasis Data Center Infrastructure Management (DCIM) untuk memantau infrastruktur Data Center secara terpusat. Sistem ini memungkinkan pemantauan kondisi fisik Data Center, termasuk suhu, kelembapan, konsumsi daya, kapasitas rack, serta sistem kelistrikan dan pendinginan. DCIM membantu memastikan semua elemen Data Center berjalan sesuai dengan standar dan memungkinkan respons cepat terhadap gangguan atau anomali.","- Dokumentasi sistem Data Center Infrastructure Management (DCIM) yang digunakan untuk pemantauan Data Center
- Screenshot atau bukti akses ke dashboard monitoring yang menunjukkan parameter yang dipantau seperti suhu, kelembapan, dan daya
- Laporan monitoring infrastruktur yang dibuat oleh DCIM untuk mengidentifikasi kondisi fisik Data Center
- Bukti tindakan yang diambil berdasarkan alert atau anomali yang terdeteksi oleh sistem DCIM"
,,,7,"Memiliki sistem / jalur perkabelan (Terpisah antara jalur Listrik, Data UTP, Data FC)","Harus ada sistem jalur perkabelan yang tertata rapi dan terpisah untuk listrik, Data UTP, dan Data FC (Fiber Channel) guna menghindari interferensi elektromagnetik dan memastikan keamanan serta efisiensi jaringan. Pemisahan ini bertujuan untuk mengurangi potensi gangguan yang dapat mempengaruhi performa jaringan data, dan untuk mempermudah pemeliharaan serta troubleshooting jika diperlukan.","- Foto atau dokumentasi jalur perkabelan yang menunjukkan pemisahan antara jalur listrik, Data UTP, dan Data FC
- Rencana tata letak cable tray atau ducting yang memisahkan jalur listrik, UTP, dan FC
- Bukti audit infrastruktur kabel untuk memastikan pemisahan jalur sudah sesuai dengan standar
- Dokumentasi prosedur pemeliharaan kabel yang mencakup penanganan, penandaan, dan pemisahan kabel sesuai kategori"
,P1.5 Aset Management - CMDB,,1,"Memiliki centralize repository untuk seluruh configuration item ( Minimal: Server, Network, Storage, Software, dan Operating system)","Harus ada centralized repository yang mencakup seluruh configuration item (CI) seperti Server, Network, Storage, Software, dan Operating System. Centralized repository ini digunakan untuk mencatat, mengelola, dan memonitor setiap perubahan konfigurasi yang dilakukan. Dengan adanya repository ini, semua informasi terkait infrastruktur dapat diakses secara terpusat, memudahkan manajemen konfigurasi, audit, dan pemecahan masalah.","- Bukti keberadaan centralized repository yang mencakup seluruh configuration item (screenshot atau laporan sistem repository)
- Dokumentasi daftar configuration item yang tersimpan dalam repository, termasuk detail seperti server, jaringan, penyimpanan, software, dan OS
- Bukti prosedur manajemen konfigurasi yang menunjukkan cara pencatatan dan pemeliharaan data di centralized repository
- Laporan audit yang memastikan bahwa semua configuration item tercatat dan selalu diperbarui dalam repository"
,,,2,Melakukan pengkinian data logical configuration item yang sudah tersimpan di dalam CMDB secara reguler (Minimal: 6 bulan sekali),"Configuration Management Database (CMDB) harus selalu diperbarui dengan data logical configuration item yang terkini secara reguler minimal setiap 6 bulan sekali. Pengkinian ini bertujuan untuk memastikan bahwa semua configuration item (seperti server, jaringan, storage, software, dan sistem operasi) tercatat dengan informasi terbaru, sehingga mendukung manajemen konfigurasi dan pengambilan keputusan.","- Jadwal pengkinian data CMDB yang menunjukkan pembaruan reguler setiap 6 bulan sekali
- Laporan hasil pengkinian CMDB yang mencakup informasi tentang configuration item yang diperbarui
- Bukti audit untuk memastikan bahwa logical configuration item selalu diperbarui sesuai jadwal
- Dokumentasi prosedur pengkinian data CMDB yang mencakup langkah-langkah pembaruan dan pihak yang bertanggung jawab"
,,,3,Melakukan pengkinian data technical configuration item yang sudah tersimpan di dalam CMDB secara reguler (Minimal: 1 bulan Sekali),"Configuration Management Database (CMDB) harus selalu diperbarui dengan data technical configuration item secara reguler, minimal setiap 1 bulan sekali. Pembaruan ini diperlukan untuk memastikan bahwa semua informasi teknis yang terkait dengan perangkat keras, jaringan, storage, software, dan sistem operasi tetap up-to-date dan dapat digunakan untuk mendukung manajemen konfigurasi, audit, serta troubleshooting.","- Jadwal pengkinian data CMDB yang menunjukkan pembaruan reguler setiap bulan
- Laporan hasil pengkinian CMDB yang mencakup technical configuration item yang diperbarui
- Bukti audit untuk memastikan bahwa technical configuration item diperbarui sesuai jadwal
- Dokumentasi prosedur pengkinian data CMDB yang mencakup langkah-langkah pembaruan dan pihak yang bertanggung jawab"
,,,4,"Memberikan laporan asset / configuration item terkait lisensi, end of support, dan operasional secara periodik (1 bulan sekali) ke Tim IT Asset Management, Tim License Management dan Compliance","Harus ada laporan periodik terkait asset/configuration item yang meliputi informasi mengenai lisensi, end of support, dan status operasional. Laporan ini dibuat setiap 1 bulan sekali dan disampaikan kepada Tim IT Asset Management, Tim License Management, serta Compliance untuk memastikan semua perangkat dan perangkat lunak dikelola dengan baik, tidak ada yang melewati masa dukungan, dan semua lisensi dipatuhi.","- Laporan bulanan yang mencakup daftar asset/configuration item beserta informasi lisensi, end of support, dan status operasional
- Bukti pengiriman laporan ke Tim IT Asset Management, Tim License Management, dan Compliance (misalnya email atau sistem manajemen dokumen)
- Dokumentasi prosedur untuk penyusunan dan distribusi laporan yang mencakup tanggung jawab tim dan jadwal distribusi laporan
- Bukti audit terkait kepatuhan terhadap pelaporan bulanan dan memastikan bahwa semua CI dikelola sesuai dengan ketentuan"
,,,5,"Memberikan support data terhadap ITSM process ( Incident, Problem, Change,  Asset, dan Request management) ","Harus ada dukungan data yang diberikan untuk setiap proses IT Service Management (ITSM) seperti Incident, Problem, Change, Asset, dan Request Management. Data ini diperlukan untuk mendukung pengelolaan layanan IT secara efektif, termasuk penanganan insiden, identifikasi akar masalah, manajemen perubahan, pengelolaan aset IT, dan pemenuhan permintaan layanan. Dukungan data ini harus akurat dan relevan agar setiap proses ITSM berjalan optimal dan dapat membantu dalam pengambilan keputusan serta perbaikan berkelanjutan.","-Bukti dukungan data terhadap proses Incident Management, seperti laporan insiden yang mencakup analisis dampak dan penanganannya
- Dokumentasi Problem Management yang mencakup data terkait root cause analysis dan langkah mitigasi
- Bukti data yang digunakan dalam Change Management, seperti daftar perubahan yang disetujui dan analisis risiko
- Laporan inventaris Asset Management yang digunakan untuk melacak konfigurasi dan status asset IT
- Bukti permintaan yang dikelola melalui Request Management dengan informasi tentang status dan pemenuhan permintaan layanan"
,,,6,"Melakukan pembuatan relasi dependency, component, dan impact antar configuration item","Harus ada pembuatan relasi antara dependency, component, dan impact antar configuration item (CI) yang tersimpan di Configuration Management Database (CMDB). Relasi ini dibuat untuk memahami bagaimana setiap CI berinteraksi satu sama lain dan bagaimana perubahan pada satu CI dapat memengaruhi CI lainnya. Dengan adanya informasi ini, dapat dilakukan analisis dampak yang lebih baik dalam proses perubahan, serta mempercepat penyelesaian masalah dengan memahami dependensi antar komponen.","- Screenshot atau dokumentasi dari CMDB yang menunjukkan peta relasi antar configuration item termasuk dependency, component, dan impact
- Bukti diagram dependency yang menggambarkan hubungan antar CI dan komponen infrastruktur
- Laporan analisis dampak terkait perubahan atau insiden yang menunjukkan bagaimana informasi relasi antar CI digunakan dalam proses pengambilan keputusan
- Dokumentasi prosedur untuk membuat dan memelihara relasi antar CI dalam CMDB"
,,,7,Memiliki discovery tools untuk mempermudah pengkinian technical configuration item dan pembuatan relasi,"Harus ada discovery tools yang digunakan untuk mempermudah pengkinian technical configuration item dan pembuatan relasi antar configuration item (CI) di dalam Configuration Management Database (CMDB). Discovery tools secara otomatis mengidentifikasi perangkat, sistem, dan komponen yang ada dalam infrastruktur IT serta memperbarui informasi teknis dan relasi antar CI. Hal ini bertujuan untuk memastikan bahwa data di dalam CMDB selalu up-to-date dan akurat, sehingga mendukung pengelolaan IT yang lebih baik.","- Bukti penggunaan discovery tools, seperti screenshot atau laporan dari tool yang menunjukkan identifikasi CI dan pengkinian otomatis
- Dokumentasi prosedur penggunaan discovery tools untuk mengidentifikasi dan memperbarui technical CI
- Laporan hasil pengkinian CMDB yang menunjukkan penggunaan discovery tools untuk memperbarui data secara otomatis
- Bukti pembuatan relasi antar CI di CMDB berdasarkan data yang dihasilkan oleh discovery tools"
,,,8,Memiliki management tools untuk mengelola aset di Configuration Management Database (CMDB),"Harus ada management tools yang digunakan untuk mengelola aset di dalam Configuration Management Database (CMDB). Management tools ini memungkinkan pencatatan, pemeliharaan, pemantauan, dan pembaruan configuration item (CI) secara terpusat, serta memudahkan pembuatan relasi antar CI. Tools ini memastikan data di CMDB selalu up-to-date, akurat, dan tersedia untuk mendukung pengelolaan konfigurasi dan proses IT Service Management (ITSM).","- Bukti penggunaan management tools seperti screenshot atau laporan dari tools yang menunjukkan pengelolaan aset di CMDB
- Dokumentasi prosedur penggunaan management tools untuk mengelola CI di CMDB
- Laporan hasil pembaruan data aset di CMDB yang menggunakan management tools
- Bukti audit yang menunjukkan bahwa management tools digunakan untuk menjaga akurasi dan integritas data di dalam CMDB"
,P1.6 Automation,,1,Melakukan automation process untuk EoD dan SoD,Harus ada proses otomatisasi untuk End of Day (EoD) dan Start of Day (SoD) guna memastikan bahwa semua proses operasional harian dan persiapan hari berikutnya dapat dilakukan dengan efisien dan minim risiko human error. Otomatisasi EoD dan SoD ini penting untuk menjaga konsistensi operasional sistem serta mengurangi waktu yang diperlukan untuk proses manual.,"- Dokumentasi script atau workflow yang digunakan untuk otomatisasi proses EoD dan SoD
- Bukti pelaksanaan otomatisasi, seperti log hasil eksekusi EoD dan SoD yang menunjukkan keberhasilan atau kegagalan
- Laporan evaluasi efisiensi proses otomatisasi yang mencakup pengurangan waktu dan peningkatan akurasi dibandingkan dengan metode manual
- Dokumentasi prosedur backup terkait otomatisasi EoD dan SoD untuk memastikan data tetap aman selama proses"
,P1.7 Deployment Tools,,1,Memiliki standar prosedur deployment (Mulai dari pengajuan - review strategi - deploy -review pasca implementasi),"Harus ada standar prosedur deployment yang mencakup seluruh siklus mulai dari pengajuan, review strategi, deployment, hingga review pasca implementasi. Prosedur ini dirancang untuk memastikan bahwa setiap deployment dilakukan secara terencana, terkoordinasi, dan aman. Prosedur ini juga harus mencakup mekanisme untuk mengidentifikasi risiko, merumuskan strategi mitigasi, serta mengevaluasi keberhasilan dan dampak setelah deployment.","- Dokumen standar prosedur deployment yang mencakup tahapan pengajuan, review strategi, deployment, dan review pasca implementasi
- Bukti formulir pengajuan deployment yang diisi oleh tim terkait
- Laporan review strategi yang mencakup analisis risiko dan strategi mitigasi
- Bukti hasil deployment yang menunjukkan langkah-langkah eksekusi
- Laporan review pasca implementasi yang mencakup evaluasi keberhasilan dan rekomendasi perbaikan jika diperlukan"
,P1.8 VPC,,1,Menggunakan Platform Virtualisasi berdasarkan Rekomendasi Gartner,"Harus menggunakan platform virtualisasi yang direkomendasikan oleh Gartner untuk memastikan pemilihan teknologi terbaik yang sesuai dengan kebutuhan bisnis dan standar industri. Mengikuti rekomendasi Gartner membantu memastikan bahwa platform virtualisasi yang digunakan memiliki performa yang baik, fitur keamanan yang memadai, serta dukungan teknis yang sesuai dengan tren dan perkembangan teknologi terkini.","- Dokumen yang menunjukkan platform virtualisasi yang digunakan, termasuk bukti bahwa platform tersebut merupakan bagian dari rekomendasi Gartner Magic Quadrant
- Bukti analisis atau evaluasi terhadap platform virtualisasi yang dipilih, mencakup pertimbangan dan alasan pemilihan
- Laporan hasil review tahunan untuk memastikan platform virtualisasi masih sesuai dengan rekomendasi Gartner dan tetap relevan
- Bukti pembelian atau lisensi platform virtualisasi yang direkomendasikan oleh Gartner"
